Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.27,17.78,90,top
R2,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6.35,17.78,90,top
R3,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,11.43,17.78,90,top
R4,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-1.27,17.78,90,top
R5,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.78,17.78,90,top
R6,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3.81,17.78,90,top
R7,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8.89,17.78,90,top
R8,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,15.24,17.78,90,top
R9,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.1,17.78,90,top
R10,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,43.18,17.78,90,top
R11,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.26,17.78,90,top
R12,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.34,17.78,90,top
R13,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,40.64,17.78,90,top
R14,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.72,17.78,90,top
R15,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,50.8,17.78,90,top
R16,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.88,17.78,90,top
R17,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,8.89,0,top
R18,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,7.62,0,top
R19,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,6.35,0,top
R20,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,5.08,0,top
R21,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,3.81,0,top
R22,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,2.54,0,top
R23,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,1.27,0,top
R24,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,0,0,top
R25,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-1.27,0,top
R26,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-2.54,0,top
R27,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-3.81,0,top
R28,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-5.08,0,top
R29,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-6.35,0,top
R30,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-7.62,0,top
R31,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-8.89,0,top
R32,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-10.16,0,top
R33,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-11.43,0,top
R34,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-12.7,0,top
R35,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-13.97,0,top
R36,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-15.24,0,top
R37,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-16.51,0,top
R38,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-17.78,0,top
R39,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-19.05,0,top
R40,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-20.32,0,top
R41,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-21.59,0,top
R42,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-22.86,0,top
R43,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-24.13,0,top
R44,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-25.4,0,top
R45,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-26.67,0,top
R46,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-27.94,0,top
R47,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.74,-29.21,0,top
R48,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-30.48,0,top
R49,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20.32,-31.75,90,top
R50,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.86,-31.75,90,top
R51,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.78,-31.75,90,top
R52,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,25.4,-31.75,90,top
R53,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,15.24,-31.75,90,top
R54,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27.94,-31.75,90,top
R55,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12.7,-31.75,90,top
R56,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,30.48,-31.75,90,top
R57,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10.16,-31.75,90,top
R58,R_Small_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,33.02,-31.75,90,top